time_s,roll_deg,pitch_deg,yaw_deg,az_deg,el_deg,pointing_error_deg,fixed_error_deg,gimbal_margin_db,fixed_margin_db,gimbal_link_ok,fixed_link_ok,blocked,reachable,payload_temp_c,payload_bus_w,payload_energy_wh,az_torque_nm,el_torque_nm,landing_locked,lander_temp_c,lander_energy_wh,host_rf_dc_w,ground_clearance_m,packaging_fits,blocked_reason,touchdown_vibration_deg,rf_theta_deg,rf_phi_deg,directional_gain_dbi,s11_db,vswr,axial_ratio_db,polarization_loss_db,received_dbm,noise_dbm,cn_db,occupied_bandwidth_khz,bandwidth_pass,frequency_supported
0,0,0,0,12,25,0,0,8.556644,8.556644,1,1,0,1,15,0,0,0,0,1,15,0,0,2.029868,1,,0,0,201.801409,6.5,-15,1.432581,3,0.5,-128.021923,-128.599167,0.577244,5.4,1,1
0.04,0,0,0,12,25,0,0,8.556644,8.556644,1,1,0,1,14.999849,0.929412,0.00001,0,0,1,15.000084,0.000169,14.285714,2.029868,1,,0,0,201.801409,6.5,-15,1.432581,3,0.5,-128.021923,-128.599167,0.577244,5.4,1,1
0.08,0,0,0,12,25,0,0,8.556644,8.556644,1,1,0,1,14.999698,0.929412,0.000021,0,0,1,15.000168,0.000338,14.285714,2.029868,1,,0,0,201.801409,6.5,-15,1.432581,3,0.5,-128.021923,-128.599167,0.577244,5.4,1,1
0.12,0,0,0,12,25,0,0,8.556644,8.556644,1,1,0,1,14.999547,0.929412,0.000031,0,0,1,15.000252,0.000507,14.285714,2.029868,1,,0,0,201.801409,6.5,-15,1.432581,3,0.5,-128.021923,-128.599167,0.577244,5.4,1,1
0.16,0,0,0,12,25,0,0,8.556644,8.556644,1,1,0,1,14.999397,0.929412,0.000041,0,0,1,15.000335,0.000676,14.285714,2.029868,1,,0,0,201.801409,6.5,-15,1.432581,3,0.5,-128.021923,-128.599167,0.577244,5.4,1,1
0.2,0,0,0,12,25,0,0,8.556644,8.556644,1,1,0,1,14.999246,0.929412,0.000052,0,0,1,15.000419,0.000845,14.285714,2.029868,1,,0,0,201.801409,6.5,-15,1.432581,3,0.5,-128.021923,-128.599167,0.577244,5.4,1,1
0.24,0,0,0,12,25,0,0,8.556644,8.556644,1,1,0,1,14.999095,0.929412,0.000062,0,0,1,15.000503,0.001014,14.285714,2.029868,1,,0,0,201.801409,6.5,-15,1.432581,3,0.5,-128.021923,-128.599167,0.577244,5.4,1,1
0.28,0,0,0,12,25,0,0,8.556644,8.556644,1,1,0,1,14.998944,0.929412,0.000072,0,0,1,15.000587,0.001183,14.285714,2.029868,1,,0,0,201.801409,6.5,-15,1.432581,3,0.5,-128.021923,-128.599167,0.577244,5.4,1,1
0.32,0,0,0,12,25,0,0,8.556644,8.556644,1,1,0,1,14.998794,0.929412,0.000083,0,0,1,15.000671,0.001352,14.285714,2.029868,1,,0,0,201.801409,6.5,-15,1.432581,3,0.5,-128.021923,-128.599167,0.577244,5.4,1,1
0.36,0,0,0,12,25,0,0,8.556644,8.556644,1,1,0,1,14.998643,0.929412,0.000093,0,0,1,15.000755,0.001522,14.285714,2.029868,1,,0,0,201.801409,6.5,-15,1.432581,3,0.5,-128.021923,-128.599167,0.577244,5.4,1,1
