preset,finalErrorDeg,gimbalMarginDb,fixedMarginDb,availability,fixedAvailability,blockedReason,plateFits,targetFits,releaseTime
nominal,0.04170177790765839,8.556641652275232,8.50688927070766,100,100,,true,true,3.999999999999781
tilt,0.09260180447752031,8.556630645972717,-1.2790231138370984,92.23333333333764,17.08888888888824,,true,true,4.339999999999744
shock,0.07463857427060341,8.556635482810265,4.969135366102904,100,100,,true,true,4.347999999999743
dust,0.18103982755334705,8.5565916824942,6.448863659133735,100,100,,true,true,4.023999999999779
jam,64.78653143568285,-0.463849327485093,-1.2790231138370984,17.08888888888824,17.08888888888824,,true,true,3.999999999999781
limit,36.24582091194072,6.283202712860742,3.2047203826091106,100,100,,true,false,3.999999999999781
side,0.09163628955613404,8.556630932373622,6.009676871425626,100,100,,true,true,4.485999999999728
nose,36.06416818575855,,,15.311111111110657,15.311111111110657,LANDER HULL,true,false,4.519999999999724
inverted,0.09858357129565391,,,17.477777777777085,17.477777777777085,GROUND CONTACT / BURIED,true,true,4.485999999999728
hot,0.09247431788414887,8.556630683961089,-1.2790231138370984,92.23333333333764,17.08888888888824,,true,true,4.339999999999744
blackout,66.77292122709692,,,11.100000000000009,11.100000000000009,,true,true,4.339999999999744
