# SYNTHETIC TWO-PLANE COSINE MODEL. NOT MEASURED OR DIGITIZED FROM A PAPER.
# Reference model: gain 6.5 dBi; widths 82.44 and 50 degrees; theta +Z, phi +X toward +Y.
frequency_ghz,theta_deg,phi_deg,gain_dbi
2.205,0,0,6.500000
2.205,0,10,6.500000
2.205,0,20,6.500000
2.205,0,30,6.500000
2.205,0,40,6.500000
2.205,0,50,6.500000
2.205,0,60,6.500000
2.205,0,70,6.500000
2.205,0,80,6.500000
2.205,0,90,6.500000
2.205,0,100,6.500000
2.205,0,110,6.500000
2.205,0,120,6.500000
2.205,0,130,6.500000
2.205,0,140,6.500000
2.205,0,150,6.500000
2.205,0,160,6.500000
2.205,0,170,6.500000
2.205,0,180,6.500000
2.205,0,190,6.500000
2.205,0,200,6.500000
2.205,0,210,6.500000
2.205,0,220,6.500000
2.205,0,230,6.500000
2.205,0,240,6.500000
2.205,0,250,6.500000
2.205,0,260,6.500000
2.205,0,270,6.500000
2.205,0,280,6.500000
2.205,0,290,6.500000
2.205,0,300,6.500000
2.205,0,310,6.500000
2.205,0,320,6.500000
2.205,0,330,6.500000
2.205,0,340,6.500000
2.205,0,350,6.500000
2.205,10,0,6.338172
2.205,10,10,6.328927
2.205,10,20,6.302305
2.205,10,30,6.261517
2.205,10,40,6.211484
2.205,10,50,6.158240
2.205,10,60,6.108207
2.205,10,70,6.067420
2.205,10,80,6.040798
2.205,10,90,6.031552
2.205,10,100,6.040798
2.205,10,110,6.067420
2.205,10,120,6.108207
2.205,10,130,6.158240
2.205,10,140,6.211484
2.205,10,150,6.261517
2.205,10,160,6.302305
2.205,10,170,6.328927
2.205,10,180,6.338172
2.205,10,190,6.328927
2.205,10,200,6.302305
2.205,10,210,6.261517
2.205,10,220,6.211484
2.205,10,230,6.158240
2.205,10,240,6.108207
2.205,10,250,6.067420
2.205,10,260,6.040798
2.205,10,270,6.031552
2.205,10,280,6.040798
2.205,10,290,6.067420
2.205,10,300,6.108207
2.205,10,310,6.158240
2.205,10,320,6.211484
2.205,10,330,6.261517
2.205,10,340,6.302305
2.205,10,350,6.328927
2.205,20,0,5.842466
2.205,20,10,5.804899
2.205,20,20,5.696729
2.205,20,30,5.531003
2.205,20,40,5.327710
2.205,20,50,5.111370
2.205,20,60,4.908077
2.205,20,70,4.742351
2.205,20,80,4.634181
2.205,20,90,4.596614
2.205,20,100,4.634181
2.205,20,110,4.742351
2.205,20,120,4.908077
2.205,20,130,5.111370
2.205,20,140,5.327710
2.205,20,150,5.531003
2.205,20,160,5.696729
2.205,20,170,5.804899
2.205,20,180,5.842466
2.205,20,190,5.804899
2.205,20,200,5.696729
2.205,20,210,5.531003
2.205,20,220,5.327710
2.205,20,230,5.111370
2.205,20,240,4.908077
2.205,20,250,4.742351
2.205,20,260,4.634181
2.205,20,270,4.596614
2.205,20,280,4.634181
2.205,20,290,4.742351
2.205,20,300,4.908077
2.205,20,310,5.111370
2.205,20,320,5.327710
2.205,20,330,5.531003
2.205,20,340,5.696729
2.205,20,350,5.804899
2.205,30,0,4.979475
2.205,30,10,4.892602
2.205,30,20,4.642463
2.205,30,30,4.259228
2.205,30,40,3.789120
2.205,30,50,3.288841
2.205,30,60,2.818733
2.205,30,70,2.435498
2.205,30,80,2.185359
2.205,30,90,2.098486
2.205,30,100,2.185359
2.205,30,110,2.435498
2.205,30,120,2.818733
2.205,30,130,3.288841
