# Approximate visual digitization of Sánchez-Sevilleja et al. (2025), Figure 10.
# Reference antenna data; not measured on the RunSpace lander and not valid as a manufacturing acceptance file.
frequency_ghz,s11_sim_port1_db,s22_sim_port2_db,s11_meas_port1_db,s22_meas_port2_db
1.9,-6.5,-7.3,-6.3,-7
1.925,-8.5,-8.8,-8,-8.1
1.95,-10.5,-10.5,-10.7,-10.6
1.975,-11.7,-11.7,-13,-12.8
2,-11.7,-11.7,-13.1,-13.2
2.025,-11.5,-11.5,-12.8,-13
2.05,-11.3,-11.3,-12.6,-12.9
2.075,-11.3,-11.3,-12.6,-13
2.1,-11.3,-11.3,-12.5,-13.1
2.125,-11.4,-11.4,-12.6,-13.2
2.15,-11.5,-11.5,-12.8,-13.3
2.175,-12,-12,-13.5,-13.8
2.2,-14.7,-15,-15.8,-16.2
2.21,-15.8,-16.5,-16.7,-17.5
2.22,-16.7,-17.7,-16.8,-18
2.23,-17,-17.4,-15.2,-17
2.24,-16.2,-15.8,-12.6,-14.3
2.25,-13.7,-12.5,-10.2,-11
2.275,-7.2,-8.2,-6,-6.2
2.3,-4.8,-5.2,-4.3,-4.5
